Timestamp,DateTime,TEC1_Optimal(V),TEC2_Optimal(V),TEC3_Optimal(V),TEC4_Optimal(V),TEC5_Optimal(V),TEC6_Optimal(V),TEC7_Optimal(V),TEC8_Optimal(V)
1763784663,12:11:02,0.006125,0.007125,0.00759375,0.007421875,0.005773437,0.006117188,0.00259375,0.00303125
1763784673,12:11:13,0.00575,0.007125,0.007125,0.0074375,0.005039063,0.006140625,0.002414062,0.00325
1763784684,12:11:24,0.005625,0.006,0.007117188,0.007070313,0.005460938,0.006015625,0.0024375,0.003039063
1763784695,12:11:35,0.005375,0.0065,0.00715625,0.007015625,0.005117188,0.006054688,0.002320312,0.0031875
1763784706,12:11:45,0.0055,0.00675,0.007101563,0.006867188,0.004882812,0.006140625,0.0024375,0.003195313
1763784717,12:11:56,0.0045,0.005125,0.006789062,0.006515625,0.004453125,0.005859375,0.002296875,0.003085938
1763784728,12:12:07,0.005625,0.006375,0.007539062,0.00709375,0.005757812,0.0065625,0.002875,0.00371875
1763784739,12:12:18,0.00575,0.006,0.007367188,0.006625,0.005609375,0.005757812,0.002914062,0.003507813
1763784749,12:12:29,0.005375,0.0055,0.00671875,0.005984375,0.004984375,0.005078125,0.002640625,0.003117188
1763784760,12:12:40,0.005,0.005,0.006140625,0.005671875,0.004515625,0.004921875,0.002460938,0.00265625
1763784771,12:12:51,0.004875,0.005375,0.005945313,0.00590625,0.004539062,0.005289063,0.0024375,0.0030625
1763784782,12:13:01,0.004625,0.005,0.005742187,0.005445313,0.004375,0.004734375,0.002351562,0.002851562
1763784793,12:13:12,0.004375,0.004625,0.005351563,0.005101563,0.003859375,0.0045,0.002125,0.002648438
1763784804,12:13:23,0.004125,0.004625,0.005195313,0.005210938,0.003867187,0.004570312,0.002070313,0.002679688
1763784814,12:13:34,0.003875,0.0045,0.004992188,0.004835937,0.003539063,0.004007813,0.001804688,0.002539063
1763784825,12:13:45,0.003875,0.0045,0.005054688,0.004835937,0.003921875,0.004195313,0.001867188,0.002546875
1763784836,12:13:56,0.00375,0.00425,0.004726562,0.00471875,0.00353125,0.004164063,0.0018125,0.002320312
1763784847,12:14:06,0.003125,0.00325,0.00446875,0.004570312,0.002773437,0.003445313,0.001664062,0.0013125
1763784858,12:14:17,0.003625,0.0045,0.005015625,0.005171875,0.003671875,0.004585937,0.002070313,0.00221875
1763784869,12:14:28,0.003875,0.00475,0.0051875,0.005234375,0.004046875,0.004789062,0.002335937,0.002765625
1763784880,12:14:39,0.00375,0.004125,0.004742187,0.004601562,0.003453125,0.004085938,0.002125,0.00246875
1763784890,12:14:50,0.00325,0.003875,0.004296875,0.00434375,0.003039063,0.003882812,0.001875,0.00234375
1763784901,12:15:01,0.003375,0.00375,0.004453125,0.004203125,0.003375,0.00365625,0.001851563,0.002015625
1763784912,12:15:12,0.003125,0.00375,0.004304688,0.004164063,0.003195313,0.003695313,0.001640625,0.002132813
1763784923,12:15:22,0.002875,0.0035,0.004171875,0.003890625,0.00296875,0.003382812,0.001578125,0.001757813
1763784934,12:15:33,0.00275,0.00325,0.004234375,0.0040625,0.003148438,0.003867187,0.001539063,0.0020625
1763784945,12:15:44,0.0025,0.00325,0.0041875,0.003820312,0.002859375,0.003351562,0.001390625,0.002023438
1763784955,12:15:55,0.002625,0.003375,0.004273438,0.003859375,0.002992188,0.003492188,0.0014375,0.001882812
1763784966,12:16:06,0.00225,0.003,0.004078125,0.00346875,0.002539063,0.002898437,0.001257813,0.00153125
1763784977,12:16:17,0.002375,0.003,0.004164063,0.003617188,0.002679688,0.0034375,0.001328125,0.001820313
1763784988,12:16:27,0.00275,0.003125,0.004492188,0.004046875,0.003,0.003882812,0.001523438,0.002242188
1763784999,12:16:38,0.00275,0.0035,0.004578125,0.004085938,0.003414062,0.003773437,0.001664062,0.002226563
1763785010,12:16:49,0.00275,0.003375,0.004335938,0.0038125,0.003335937,0.003453125,0.00165625,0.002054688
1763785020,12:17:00,0.0025,0.002875,0.003914063,0.003601563,0.00271875,0.003132813,0.001445312,0.00184375
1763785031,12:17:11,0.002,0.0025,0.003585938,0.003265625,0.002320312,0.003007813,0.00115625,0.001703125
1763785042,12:17:22,0.002125,0.00275,0.003671875,0.00334375,0.002460938,0.003203125,0.001078125,0.001867188
1763785053,12:17:33,0.002,0.00275,0.003703125,0.003453125,0.002609375,0.003171875,0.001171875,0.001976563
1763785064,12:17:43,0.00175,0.002625,0.003484375,0.00309375,0.002179688,0.002835937,0.001085938,0.00178125
1763785075,12:17:54,0.002,0.0025,0.003640625,0.003320312,0.002523438,0.003007813,0.001398437,0.001773438
1763785086,12:18:05,0.00175,0.002125,0.0036875,0.003179688,0.002539063,0.0026875,0.00134375,0.001140625
1763785096,12:18:16,0.002125,0.0025,0.003773437,0.003296875,0.002671875,0.003117188,0.001539063,0.001773438
1763785107,12:18:27,0.002,0.002625,0.003609375,0.0029375,0.0025,0.002773437,0.001382812,0.001640625
1763785118,12:18:38,0.002125,0.002625,0.0035625,0.003140625,0.002640625,0.002828125,0.00153125,0.00178125
1763785129,12:18:48,0.002,0.0025,0.003296875,0.00296875,0.002375,0.0026875,0.001398437,0.001734375
1763785140,12:18:59,0.001625,0.00175,0.003046875,0.002609375,0.002039063,0.00240625,0.001132812,0.001203125
1763785151,12:19:10,0.001625,0.002,0.00315625,0.002546875,0.002070313,0.00240625,0.00121875,0.001484375
1763785161,12:19:21,0.001625,0.001625,0.003382812,0.002710938,0.002148438,0.002265625,0.001320313,0.00096875
1763785172,12:19:32,0.00175,0.001875,0.003554688,0.00296875,0.002476563,0.00275,0.001554688,0.001289063
1763785183,12:19:43,0.002,0.002375,0.003625,0.003039063,0.0026875,0.002851562,0.001726563,0.0015625
1763785194,12:19:54,0.001625,0.00175,0.003289062,0.002609375,0.00221875,0.002382812,0.001453125,0.001023438
